obsid,leadid,ccode,idacr,leader,startdate,enddate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,deathdate,dbpedia.uri,num.entry,num.exit,num.exitcode,num.posttenurefate,fties,ftcur,middate,time.in.office
HON-1998,81e77013-1e42-11e4-b4cd-db5882bf8def,91,HON,Flores Facusse,1998-01-27,2002-01-27,Regular,Regular,Regular,0,OK,M,1950,-777,NA,NA,NA,0,1.0,0,0.0,NA,NA,2000-01-28,1461
HON-2002,81e77014-1e42-11e4-b4cd-db5882bf8def,91,HON,Ricardo Maduro,2002-01-27,2006-01-27,Regular,Regular,Regular,0,OK,M,1946,-777,NA,NA,http://dbpedia.org/resource/Ricardo_Maduro,0,1.0,0,0.0,NA,NA,2004-01-28,1461
HON-2006,825059b2-1e42-11e4-b4cd-db5882bf8def,91,HON,Zelaya,2006-01-27,2009-06-28,Regular,Irregular,"Removed by Military, without Foreign Support",0,Exile,M,1952,-777,NA,NA,NA,0,3.0,6,1.0,NA,NA,2007-10-13,1248
HON-2009,825059b3-1e42-11e4-b4cd-db5882bf8def,91,HON,Micheletti,2009-06-28,2010-01-27,Irregular,Regular,Regular,0,OK,M,1948,-777,NA,NA,NA,1,1.0,0,0.0,NA,NA,2009-10-13,213
HON-2010,825059b4-1e42-11e4-b4cd-db5882bf8def,91,HON,Lobo,2010-01-27,2014-01-27,Regular,Regular,Regular,0,OK,M,1947,-777,NA,NA,NA,0,1.0,0,0.0,NA,NA,2012-01-28,1461
HON-2014,149deeac-aae0-11e4-b3bc-29f2fa19767e,91,HON,Hernández,2014-01-27,2015-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1968,-777,1968-10-28,NA,NA,0,-888.0,-888,-888.0,NA,NA,2015-01-14,703
ECU-2000,81f89af7-1e42-11e4-b4cd-db5882bf8def,130,ECU,Gustavo Noboa,2000-01-22,2003-01-15,Irregular,Regular,Regular,0,Exile,M,1937,-777,NA,NA,NA,1,1.0,0,1.0,NA,NA,2001-07-20,1089
ECU-2003,81f89af8-1e42-11e4-b4cd-db5882bf8def,130,ECU,Lucio Gutierrez,2003-01-15,2005-04-20,Regular,Regular,Regular,0,Imprisonment,M,1957,-777,NA,NA,NA,0,1.0,0,2.0,NA,NA,2004-03-03,826
ECU-2005,82508a88-1e42-11e4-b4cd-db5882bf8def,130,ECU,Alfredo Palacio,2005-04-20,2007-01-15,Regular,Regular,Regular,0,OK,M,1939,-777,NA,NA,NA,0,1.0,0,0.0,NA,NA,2006-03-04,635
ECU-2007,82508a89-1e42-11e4-b4cd-db5882bf8def,130,ECU,Rafael Correa,2007-01-15,2015-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1963,-777,1963-04-06,NA,NA,0,-888.0,-888,-888.0,NA,NA,2011-07-09,3272
ARG-1999,82046e89-1e42-11e4-b4cd-db5882bf8def,160,ARG,de la Rua,1999-12-10,2001-12-21,Regular,Regular,Regular,0,OK,M,1937,-777,1937-09-15,NA,http://dbpedia.org/resource/Fernando_de_la_R%C3%BAa,0,1.0,0,0.0,NA,NA,2000-12-15,742
ARG-2001-1,82046e8a-1e42-11e4-b4cd-db5882bf8def,160,ARG,Ramon Puerta,2001-12-21,2001-12-23,Regular,Regular,Regular,0,OK,M,1951,-777,NA,NA,NA,0,1.0,0,0.0,NA,NA,2001-12-22,2
ARG-2001-2,82049f5c-1e42-11e4-b4cd-db5882bf8def,160,ARG,Adolfo Rodriguez Saa,2001-12-23,2002-01-01,Regular,Regular,Regular,0,OK,M,1947,-777,NA,NA,NA,0,1.0,0,0.0,NA,NA,2001-12-28,9
ARG-2002,82049f5d-1e42-11e4-b4cd-db5882bf8def,160,ARG,Eduardo Duhalde,2002-01-02,2003-05-25,Regular,Regular,Regular,0,OK,M,1941,-777,1941-10-05,NA,http://dbpedia.org/resource/Eduardo_Duhalde,0,1.0,0,0.0,NA,NA,2002-09-13,508
ARG-2003,82049f5e-1e42-11e4-b4cd-db5882bf8def,160,ARG,Nestor Kirchner,2003-05-25,2007-12-10,Regular,Regular,Regular,0,OK,M,1950,2010,NA,NA,NA,0,1.0,0,0.0,NA,NA,2005-09-01,1660
ARG-2007,8250bb5e-1e42-11e4-b4cd-db5882bf8def,160,ARG,Fernandez de Kirchner,2007-12-10,2015-12-10,Regular,Regular,Regular,0,Missing: Left Office after 2014-12-31,F,1953,-777,1953-02-19,NA,NA,0,1.0,0,-999.0,NA,NA,2011-12-10,2922
ARG-2015,0edcc4a1-df39-11e5-ba44-bb6d7c1a9a58,160,ARG,Mauricio Macri,2015-12-10,2015-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1959,-777,1959-02-08,NA,NA,0,-888.0,-888,-888.0,NA,NA,2015-12-21,21
ARM-1998,82235552-1e42-11e4-b4cd-db5882bf8def,371,ARM,Kocharian,1998-02-04,2008-04-09,Regular,Regular,Regular,0,OK,M,1954,-777,1954-08-31,NA,http://dbpedia.org/resource/Robert_Kocharyan,0,1.0,0,0.0,NA,NA,2003-03-09,3717
ARM-2008,82530552-1e42-11e4-b4cd-db5882bf8def,371,ARM,Sarkisyan,2008-04-09,2015-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1954,-777,1954-06-30,NA,NA,0,-888.0,-888,-888.0,NA,NA,2012-02-19,2822
NIG-1999,82307ebd-1e42-11e4-b4cd-db5882bf8def,475,NIG,Obasanjo,1999-05-29,2007-05-29,Regular,Regular,Regular,1,OK,M,1937,-777,1937-03-05,NA,http://dbpedia.org/resource/Olusegun_Obasanjo,0,1.0,0,0.0,NA,NA,2003-05-29,2922
NIG-2007,8253c8a2-1e42-11e4-b4cd-db5882bf8def,475,NIG,Yar'Adua,2007-05-29,2010-02-09,Regular,Retired Due to Ill Health,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1951,2010,1951-08-16,NA,NA,0,2.1,0,-777.0,NA,NA,2008-10-04,987
NIG-2010,8253c8a3-1e42-11e4-b4cd-db5882bf8def,475,NIG,Goodluck Jonathan,2010-02-09,2015-05-29,Regular,Regular,Regular,0,Missing: Left Office after 2014-12-31,M,1957,-777,1957-11-20,NA,NA,0,1.0,0,-999.0,NA,NA,2012-10-04,1935
NIG-2015,0edd87f1-df39-11e5-ba44-bb6d7c1a9a58,475,NIG,Muhummadu Buhari,2015-05-29,2015-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1942,-777,1942-12-17,NA,NA,0,-888.0,-888,-888.0,NA,NA,2015-09-14,216
CHA-1990,823172de-1e42-11e4-b4cd-db5882bf8def,483,CHA,Deby,1990-12-04,2015-12-31,Irregular,Still in Office,Still in Office,0,Leader Still in Office,M,1952,-777,1952-06-18,NA,NA,1,-888.0,-888,-888.0,NA,NA,2003-06-18,9158
MZM-1986,8233edb8-1e42-11e4-b4cd-db5882bf8def,541,MZM,Chissano,1986-11-06,2005-02-02,Regular,Regular,Regular,0,OK,M,1939,-777,1939-10-02,NA,NA,0,1.0,0,0.0,NA,NA,1995-12-21,6663
MZM-2005,8253f976-1e42-11e4-b4cd-db5882bf8def,541,MZM,Guebuza,2005-02-02,2015-01-15,Regular,Regular,Regular,0,Missing: Left Office after 2014-12-31,M,1942,-777,1942-01-20,NA,NA,0,1.0,0,-999.0,NA,NA,2010-01-24,3634
MZM-2015,0eddaf00-df39-11e5-ba44-bb6d7c1a9a58,541,MZM,Filipe Nyusi,2015-01-15,2015-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1959,-777,1959-02-09,NA,NA,0,-888.0,-888,-888.0,NA,NA,2015-07-09,350
ZIM-1980,82341e8d-1e42-11e4-b4cd-db5882bf8def,552,ZIM,Mugabe,1980-03-04,2015-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1924,-777,1924-02-21,NA,http://dbpedia.org/resource/Robert_Mugabe,0,-888.0,-888,-888.0,NA,NA,1998-02-01,13085
ISR-1999,824147f4-1e42-11e4-b4cd-db5882bf8def,666,ISR,Barak,1999-07-06,2001-03-07,Regular,Regular,Regular,0,OK,M,1942,-777,1942-02-12,NA,http://dbpedia.org/resource/Ehud_Barak,0,1.0,0,0.0,NA,NA,2000-05-06,610
ISR-2001,824147f5-1e42-11e4-b4cd-db5882bf8def,666,ISR,Ariel Sharon,2001-03-08,2006-01-04,Regular,Retired Due to Ill Health,Regular,0,OK,M,1928,-777,NA,NA,http://dbpedia.org/resource/Ariel_Sharon,0,2.1,0,0.0,NA,NA,2003-08-07,1763
ISR-2006,82548bfe-1e42-11e4-b4cd-db5882bf8def,666,ISR,Olmert,2006-01-04,2009-03-31,Regular,Regular,Regular,0,OK,M,1928,-777,1928-02-26,NA,NA,0,1.0,0,0.0,NA,NA,2007-08-18,1182
ISR-2009,82411722-1e42-11e4-b4cd-db5882bf8def,666,ISR,Netanyahu,2009-03-31,2015-12-31,Regular,Still in Office,Still in Office,1,Leader Still in Office,M,1949,-777,1949-10-21,NA,NA,0,-888.0,-888,-888.0,NA,NA,2012-08-15,2466
UAE-1971,82426ced-1e42-11e4-b4cd-db5882bf8def,696,UAE,An-Nahayan,1971-12-02,2004-11-03,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1918,2004,NA,NA,NA,0,2.0,0,-777.0,NA,NA,1988-05-19,12025
UAE-2004,8254bcd0-1e42-11e4-b4cd-db5882bf8def,696,UAE,Khalifa Al Nahayan,2004-11-03,2015-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1948,-777,1948-01-25,NA,NA,0,-888.0,-888,-888.0,NA,NA,2010-06-03,4075
OMA-1970,82429dc1-1e42-11e4-b4cd-db5882bf8def,698,OMA,Qabus Bin Said,1970-07-23,2015-12-31,Irregular,Still in Office,Still in Office,0,Leader Still in Office,M,1940,-777,1940-11-18,NA,http://dbpedia.org/resource/Qaboos_bin_Said_al_Said,1,-888.0,-888,-888.0,NA,NA,1993-04-12,16597
KZK-1990,8243c2c2-1e42-11e4-b4cd-db5882bf8def,705,KZK,Nazarbayev,1990-04-24,2015-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1940,-777,1940-07-06,NA,http://dbpedia.org/resource/Nursultan_Nazarbayev,0,-888.0,-888,-888.0,NA,NA,2003-02-26,9382
JPN-2000-2,82476295-1e42-11e4-b4cd-db5882bf8def,740,JPN,Yoshiro Mori,2000-04-05,2001-04-26,Regular,Regular,Regular,0,OK,M,1937,-777,NA,NA,NA,0,1.0,0,0.0,NA,NA,2000-10-15,386
JPN-2001,82476296-1e42-11e4-b4cd-db5882bf8def,740,JPN,Junichiro Koizumi,2001-04-26,2006-09-26,Regular,Regular,Regular,0,OK,M,1942,-777,1942-01-08,NA,http://dbpedia.org/resource/Junichiro_Koizumi,0,1.0,0,0.0,NA,NA,2004-01-11,1979
JPN-2006,364a2a98-3bbd-11e5-afeb-eb6f07f9fec7,740,JPN,Shinzo Abe,2006-09-26,2007-09-26,Regular,Regular,Regular,0,OK,M,1954,-777,1954-09-21,NA,NA,0,1.0,0,0.0,NA,NA,2007-03-28,365
JPN-2007,8254eda8-1e42-11e4-b4cd-db5882bf8def,740,JPN,Yasuo Fukuda,2007-09-26,2008-09-24,Regular,Regular,Regular,0,OK,M,1936,-777,1936-07-16,NA,NA,0,1.0,0,0.0,Son of Fukuda%824700ea-1e42-11e4-b4cd-db5882bf8def,1,2008-03-26,364
JPN-2008,8254eda9-1e42-11e4-b4cd-db5882bf8def,740,JPN,Taro Aso,2008-09-24,2009-09-16,Regular,Regular,Regular,0,OK,M,1940,-777,1940-09-20,NA,NA,0,1.0,0,0.0,"Grandson of Yoshida, Shigeru%82469f3c-1e42-11e4-b4cd-db5882bf8def",1,2009-03-22,357
JPN-2009,82551e78-1e42-11e4-b4cd-db5882bf8def,740,JPN,Hatoyama Yukio,2009-09-16,2010-06-08,Regular,Regular,Regular,0,OK,M,1947,-777,1947-02-11,NA,NA,0,1.0,0,0.0,NA,NA,2010-01-27,265
JPN-2010,82551e79-1e42-11e4-b4cd-db5882bf8def,740,JPN,Naoto Kan,2010-06-08,2011-09-02,Regular,Regular,Regular,0,OK,M,1946,-777,1946-10-10,NA,NA,0,1.0,0,0.0,NA,NA,2011-01-20,451
JPN-2011,82551e7a-1e42-11e4-b4cd-db5882bf8def,740,JPN,Yoshihiko Noda,2011-09-02,2012-12-26,Regular,Regular,Regular,0,OK,M,1957,-777,1957-05-20,NA,NA,0,1.0,0,0.0,NA,NA,2012-04-30,481
JPN-2012,364a2a98-3bbd-11e5-afeb-eb6f07f9fec7,740,JPN,Shinzo Abe,2012-12-26,2015-12-31,Regular,Still in Office,Still in Office,1,Leader Still in Office,M,1954,-777,1954-09-21,NA,NA,0,-888.0,-888,-888.0,NA,NA,2014-06-29,1100
MAL-1981,824c890c-1e42-11e4-b4cd-db5882bf8def,820,MAL,Mahatir Bin Mohammad,1981-07-16,2003-10-31,Regular,Regular,Regular,0,OK,M,1925,-777,1925-12-20,NA,http://dbpedia.org/resource/Mahathir_bin_Mohamad,0,1.0,0,0.0,NA,NA,1992-09-07,8142
MAL-2003,824c890d-1e42-11e4-b4cd-db5882bf8def,820,MAL,Ahmad Badawi,2003-10-31,2009-04-03,Regular,Regular,Regular,0,OK,M,1939,-777,1939-11-26,NA,http://dbpedia.org/resource/Abdullah_Ahmad_Badawi,0,1.0,0,0.0,NA,NA,2006-07-18,1981
MAL-2009,8255e1c8-1e42-11e4-b4cd-db5882bf8def,820,MAL,Najib Tun Razak,2009-04-03,2015-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1953,-777,1953-07-23,NA,NA,0,-888.0,-888,-888.0,Son of Razak%824c5832-1e42-11e4-b4cd-db5882bf8def,1,2012-08-17,2463
INS-1999,824d1b8a-1e42-11e4-b4cd-db5882bf8def,850,INS,Wahid,1999-10-20,2001-07-23,Regular,Regular,Regular,0,OK,M,1940,2009,NA,NA,NA,0,1.0,0,0.0,NA,NA,2000-09-05,642
INS-2001,824d1b8b-1e42-11e4-b4cd-db5882bf8def,850,INS,Megawati Sukarnoputri,2001-07-24,2004-10-20,Regular,Regular,Regular,0,OK,F,1947,-777,NA,NA,NA,0,1.0,0,0.0,Daughter of Sukarno%824ceab8-1e42-11e4-b4cd-db5882bf8def,1,2003-03-08,1184
INS-2004,824d1b8c-1e42-11e4-b4cd-db5882bf8def,850,INS,Bambang Yudhoyono,2004-10-20,2014-10-20,Regular,Regular,Regular,0,OK,M,1949,-777,1949-09-09,NA,NA,0,1.0,0,0.0,NA,NA,2009-10-20,3652
INS-2014,14a05fc3-aae0-11e4-b3bc-29f2fa19767e,850,INS,Joko Widodo,2014-10-20,2015-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1961,-777,1961-06-21,NA,NA,0,-888.0,-888,-888.0,NA,NA,2015-05-27,437
