"country_name","start_year"
"Afghanistan",2002
"Albania",2001
"Algeria",2005
"Angola",2001
"Antigua&Barbuda",2010
"Argentina",2004
"Armenia",2002
"Australia",2004
"Austria",2001
"Azerbaijan",2004
"Bahamas",2009
"Bahrain",2001
"Bangladesh",2001
"Barbados",2010
"Belarus",2001
"Belgium",2001
"Belize",2003
"Benin",2001
"Bolivia",2003
"BosniaandHerz",2001
"Botswana",2009
"Brazil",2001
"Bulgaria",2001
"BurkinaFaso",2001
"Burma",2001
"Burundi",2003
"Cambodia",2001
"Cameroon",2001
"Canada",2001
"Central African Republic",2006
"Chad",2005
"Chile",2004
"China",2001
"Colombia",2001
"Congo (Brazzaville",2008
"Congo, DemRep (Zaire)",2001
"CostaRica",2001
"Cote DÃ­Ivoire",2001
"Croatia",2003
"Cuba",2003
"Cyprus",2004
"CzechRep",2001
"Denmark",2003
"Djibouti",2006
"Dominican Republic",2001
"Ecuador",2004
"Egypt",2004
"ElSalvador",2001
"EqGuinea",2002
"Eritrea",2009
"Estonia",2002
"Ethiopia",2001
"Fiji",2007
"Finland",2003
"France",2001
"Gabon",2001
"Gambia",2003
"Georgia",2001
"Germany",2001
"Ghana",2001
"Greece",2001
"Grenada",2010
"Guatemala",2001
"Guinea",2004
"Guinea-Bissau",2006
"Guyana",2004
"Haiti",2001
"Honduras",2001
"Hungary",2001
"Iceland",2009
"India",2001
"Indonesia",2001
"Iran",2002
"Iraq",2009
"Ireland",2006
"Israel",2001
"Italy",2001
"Jamaica",2003
"Japan",2001
"Jordan",2006
"Kazakhstan",2001
"Kenya",2003
"Kiribati",2010
"Kuwait",2003
"KyrgyzRep",2001
"Laos",2001
"Latvia",2002
"Lebanon",2001
"Lesotho",2009
"Liberia",2003
"Libya",2005
"Lithuania",2001
"Luxembourg",2001
"Macedonia",2001
"Madagascar",2004
"Malawi",2003
"Malaysia",2001
"Maldives",2009
"Mali",2001
"Malta",2006
"Mauritania",2004
"Mauritius",2003
"Mexico",2001
"Micronesia",2009
"Moldova",2001
"Mongolia",2005
"Morocco",2001
"Mozambique",2003
"Namibia",2009
"Nepal",2001
"Netherlands",2001
"NewZealand",2004
"Nicaragua",2003
"Niger",2003
"Nigeria",2001
"Norway",2003
"Oman",2005
"Pakistan",2001
"Panama",2004
"PapuaNG",2007
"Paraguay",2004
"Peru",2004
"Philippines",2001
"Poland",2001
"Portugal",2002
"Qatar",2001
"Romania",2001
"Russia",2001
"Rwanda",2003
"SaudiArabia",2001
"Senegal",2002
"SierraLeone",2001
"Singapore",2001
"SlovakRep",2003
"Slovenia",2001
"Somalia",2009
"South Korea",2001
"SouthAfrica",2001
"Spain",2001
"SriLanka",2001
"St.Vincent",2009
"Sudan",2001
"Surinam",2003
"Swaziland",2009
"Sweden",2001
"Switzerland",2001
"Syria",2005
"Tajikistan",2002
"Tanzania",2002
"Thailand",2001
"Togo",2001
"Trin&Tobago",2009
"Tunisia",2006
"Turkey",2001
"Turkmenistan",2009
"UAE",2001
"UK",2001
"US",2001
"Uganda",2001
"Ukraine",2001
"Uruguay",2005
"Uzbekistan",2003
"Venezuela",2003
"VietNam",2001
"YemenAR",2005
"Zambia",2003
"Zimbabwe",2003
"North Korea",2003
"Bhutan",2013
"Montenegro",2003
"Solomon Islands",2011
"Serbia",2003
"South Sudan",2012
"Timor-Leste",2005
"Taiwan",2003
"Brunei",2009
